,Date,Open,High,Low,Close,Adj Close,Volume,SMA,STD_DEV,UB,LB,state
62,2019-02-08,1284.800049,1300.5,1272.25,1277.699951,1270.66333,6505502,1240.5799805000001,4.672699983307583,1249.9253804666153,1231.234580533385,A
61,2019-02-07,1310.25,1321.199951,1286.099976,1290.400024,1283.293457,9212227,1246.3849853000002,5.796186731699907,1257.9773587634,1234.7926118366004,A
60,2019-02-06,1296.25,1317.650024,1294.25,1310.25,1303.034058,9411585,1252.7199829,8.110862760210326,1268.9417084204208,1236.4982573795794,A
59,2019-02-05,1292.0,1304.400024,1278.599976,1291.550049,1284.437134,9362406,1258.4399902,10.71321725693515,1279.8664247138704,1237.0135556861296,A
58,2019-02-04,1247.0,1296.949951,1242.050049,1290.900024,1283.790649,11670570,1265.9199950000002,13.274577758193352,1292.469150516387,1239.3708394836135,B
57,2019-02-01,1234.0,1255.0,1227.050049,1249.949951,1243.0661619999998,9228965,1268.9049925000004,14.724655017058062,1298.3543025341164,1239.4556824658844,B
56,2019-01-31,1202.0,1229.699951,1201.0,1227.150024,1220.391724,10185347,1267.1749998000003,14.911161391549237,1296.9973225830988,1237.3526770169017,C
55,2019-01-30,1215.0,1225.0,1191.099976,1195.699951,1189.114868,7846940,1264.3249998000003,13.63751034725599,1291.6000204945124,1237.0499791054883,C
54,2019-01-29,1231.0,1231.650024,1201.349976,1210.650024,1203.982666,9328866,1259.7499998000003,11.635805265503487,1283.0216103310072,1236.4783892689934,C
53,2019-01-28,1250.5,1255.949951,1222.400024,1229.550049,1222.778564,8569265,1257.3800047000002,9.282399829027616,1275.9448043580555,1238.8152050419449,C
52,2019-01-25,1250.449951,1264.699951,1235.400024,1246.0,1239.137939,8550836,1254.2100096000001,7.176263327109914,1268.56253625422,1239.8574829457802,B
51,2019-01-24,1225.0,1253.199951,1220.099976,1247.449951,1240.579834,13155185,1249.9150023000002,6.514624865080258,1262.9442520301607,1236.8857525698397,B
50,2019-01-23,1233.300049,1244.199951,1222.0,1226.300049,1219.546509,8829502,1241.5200072000002,8.53169337917234,1258.583393958345,1224.4566204416556,B
49,2019-01-22,1232.849976,1246.949951,1219.599976,1235.150024,1228.3476560000001,16552819,1235.8800047000002,11.191931099187524,1258.2638668983752,1213.4961425016252,B
48,2019-01-21,1194.0,1239.949951,1188.650024,1237.699951,1230.883545,22038534,1230.5599974000002,13.276156783831453,1257.112310967663,1204.0076838323373,B
